TOKEN	NE-COARSE-LIT	NE-COARSE-METO	NE-FINE-LIT	NE-FINE-METO	NE-FINE-COMP	NE-NESTED	NEL-LIT	NEL-METO	MISC
# hipe2022:original_source = data/preparation_new/corpus/de/retokenized/sophokle1v3soph_0138.xmi
# hipe2022:license = CC-BY
# hipe2022:language = de
# hipe2022:document_type = commentary
# hipe2022:document_id = sophokle1v3soph_0138
# hipe2022:date = 1853-01-01
# hipe2022:dataset = ajmc
# hipe2022:applicable_columns = TOKEN NE-COARSE-LIT NE-FINE-LIT NE-NESTED NEL-LIT MISC
# ajmc:version = v0.3
# ajmc:title = Sophokles, erklärt
# ajmc:publication_place = Leipzig
# ajmc:publication_date = 1853
# ajmc:page = 138
# ajmc:author = Schneidewin, Friedrich Wilhelm
dass	O	_	O	_	_	O	_	_	_
er	O	_	O	_	_	O	_	_	_
συλλύσων	O	_	O	_	_	O	_	_	_
τπεάρεστιν	O	_	O	_	_	O	_	_	NoSpaceAfter
.	O	_	O	_	_	O	_	_	EndOfSentence
Auch	O	_	O	_	_	O	_	_	_
spricht	O	_	O	_	_	O	_	_	_
er	O	_	O	_	_	O	_	_	_
staunend	O	_	O	_	_	O	_	_	_
von	O	_	O	_	_	O	_	_	_
der	O	_	O	_	_	O	_	_	_
ßon	O	_	O	_	_	O	_	_	_
Arosıdwrv	O	_	O	_	_	O	_	_	NoSpaceAfter
.	O	_	O	_	_	O	_	_	EndOfSentence
Daher	O	_	O	_	_	O	_	_	_
überlässt	O	_	O	_	_	O	_	_	_
auch	O	_	O	_	_	O	_	_	_
Teukros	B-pers	_	B-pers.myth	_	_	O	Q878184	_	LED0.00
ihm	O	_	O	_	_	O	_	_	_
ruhig	O	_	O	_	_	O	_	_	_
allein	O	_	O	_	_	O	_	_	_
des	O	_	O	_	_	O	_	_	_
Aias	B-pers	_	B-pers.myth	_	_	O	Q172725	_	NoSpaceAfter|LED0.00
’	O	_	O	_	_	O	_	_	_
Sache	O	_	O	_	_	O	_	_	_
gegen	O	_	O	_	_	O	_	_	_
Agamemnon	B-pers	_	B-pers.myth	_	_	O	Q128176	_	LED0.00
auszufechten.	O	_	O	_	_	O	_	_	NoSpaceAfter
1323	O	_	O	_	_	O	_	_	NoSpaceAfter
.	O	_	O	_	_	O	_	_	_
συμβαλεῖν	O	_	O	_	_	O	_	_	_
ἔπη	O	_	O	_	_	O	_	_	_
κακά	O	_	O	_	_	O	_	_	NoSpaceAfter
,	O	_	O	_	_	O	_	_	_
maledicia	O	_	O	_	_	O	_	_	_
regerere	O	_	O	_	_	O	_	_	NoSpaceAfter
,	O	_	O	_	_	O	_	_	_
quasi	O	_	O	_	_	O	_	_	_
quandam	O	_	O	_	_	O	_	_	_
verborum	O	_	O	_	_	O	_	_	_
pugnam	O	_	O	_	_	O	_	_	_
commitlendo.	O	_	O	_	_	O	_	_	NoSpaceAfter
Vgl	O	_	O	_	_	O	_	_	NoSpaceAfter
.	O	_	O	_	_	O	_	_	_
1085	B-scope	_	B-scope	_	_	O	_	_	InPrimaryReference|NoSpaceAfter|LED0.00
.	O	_	O	_	_	O	_	_	_
El	B-work	_	B-work.primlit	_	_	O	Q733444	_	InPrimaryReference|NoSpaceAfter|LED0.00
